TranscriptID	Entrez
ENSGALT00000001774	.
ENSGALT00000034558	417438
ENSGALT00000006649	.
ENSGALT00000006909	417440
ENSGALT00000034529	.
ENSGALT00000006907	417444
ENSGALT00000006971	417445
ENSGALT00000006978	396328
ENSGALT00000038513	374148
ENSGALT00000007033	771533
ENSGALT00000001874	.
ENSGALT00000001890	428332
ENSGALT00000007489	417211
ENSGALT00000045608	100857445
ENSGALT00000001900	428333
ENSGALT00000001934	396349
ENSGALT00000030486	396344
ENSGALT00000038502	417449
ENSGALT00000007053	417449
ENSGALT00000001968	770341
ENSGALT00000007488	417210
ENSGALT00000043735	417450
ENSGALT00000007063	417451
ENSGALT00000007470	.
ENSGALT00000007066	771558
ENSGALT00000038499	771509
ENSGALT00000007104	395215
ENSGALT00000002220	771528
ENSGALT00000002009	428335
ENSGALT00000046149	.
ENSGALT00000045496	.
ENSGALT00000044521	100857535
ENSGALT00000041135	425483
ENSGALT00000029664	426887
ENSGALT00000046071	101748239
ENSGALT00000007161	417453
ENSGALT00000002022	770363
ENSGALT00000002048	.
ENSGALT00000007431	417207
ENSGALT00000007424	417205
ENSGALT00000007173	771601
ENSGALT00000002098	420084
ENSGALT00000044532	418039
ENSGALT00000044532	418039
ENSGALT00000044532	100857525
ENSGALT00000044532	100857525
ENSGALT00000043861	.
ENSGALT00000002107	100858338
ENSGALT00000038481	427813
ENSGALT00000036111	431405
ENSGALT00000034466	427814
ENSGALT00000002126	420085
ENSGALT00000002862	.
ENSGALT00000007177	.
ENSGALT00000007398	.
ENSGALT00000007189	395091
ENSGALT00000007203	417455
ENSGALT00000007292	417456
ENSGALT00000042693	417204
ENSGALT00000042693	417204
ENSGALT00000042693	100859613
ENSGALT00000042693	100859613
ENSGALT00000002936	.
ENSGALT00000043823	.
ENSGALT00000007359	417203
ENSGALT00000007359	417203
ENSGALT00000007359	100858830
ENSGALT00000007359	100858830
ENSGALT00000003039	420098
ENSGALT00000007326	417202
ENSGALT00000007326	417202
ENSGALT00000007326	100859686
ENSGALT00000007326	100859686
ENSGALT00000044981	100049617
ENSGALT00000038471	429198
ENSGALT00000045981	776816
ENSGALT00000045202	.
ENSGALT00000007279	417201
ENSGALT00000007279	417201
ENSGALT00000007279	100858917
ENSGALT00000007279	100858917
ENSGALT00000039707	.
ENSGALT00000045347	417199
ENSGALT00000045347	417199
ENSGALT00000045347	417199
ENSGALT00000045347	100858558
ENSGALT00000045347	100858558
ENSGALT00000045347	100858558
ENSGALT00000045347	100859010
ENSGALT00000045347	100859010
ENSGALT00000045347	100859010
ENSGALT00000045503	771771
ENSGALT00000045503	771771
ENSGALT00000045503	100859585
ENSGALT00000045503	100859585
ENSGALT00000011145	422070
ENSGALT00000011151	422072
ENSGALT00000007386	.
ENSGALT00000007266	417200
ENSGALT00000007266	417200
ENSGALT00000007266	100858951
ENSGALT00000007266	100858951
ENSGALT00000003060	100858410
ENSGALT00000045158	101751434
ENSGALT00000011168	422074
ENSGALT00000044292	100857593
ENSGALT00000007251	417199
ENSGALT00000039668	417198
ENSGALT00000031463	422075
ENSGALT00000011176	.
ENSGALT00000044479	100858440
ENSGALT00000007187	417197
ENSGALT00000007187	417197
ENSGALT00000007187	100857218
ENSGALT00000007187	100857218
ENSGALT00000035079	420100
ENSGALT00000007150	427765
ENSGALT00000011206	422077
ENSGALT00000044736	428673
ENSGALT00000011238	428674
ENSGALT00000028106	422078
ENSGALT00000011280	.
ENSGALT00000007143	417196
ENSGALT00000007108	417195
ENSGALT00000044002	429171
ENSGALT00000003154	420101
ENSGALT00000011319	422080
ENSGALT00000011353	768556
ENSGALT00000002579	426329
ENSGALT00000028312	425539
ENSGALT00000003869	.
ENSGALT00000006983	417194
ENSGALT00000042831	396314
ENSGALT00000044378	417193
ENSGALT00000011369	422081
ENSGALT00000006704	417192
ENSGALT00000034684	417191
ENSGALT00000006623	417190
ENSGALT00000006601	417189
ENSGALT00000011408	422083
ENSGALT00000011427	768712
ENSGALT00000011440	395354
ENSGALT00000045479	422084
ENSGALT00000038433	426248
ENSGALT00000022334	426249
ENSGALT00000006585	417188
ENSGALT00000044549	.
ENSGALT00000019290	430102
ENSGALT00000019296	430103
ENSGALT00000045529	374178
ENSGALT00000043676	.
ENSGALT00000011485	422085
ENSGALT00000006504	417187
ENSGALT00000040552	770081
ENSGALT00000011513	768861
ENSGALT00000032738	423019
ENSGALT00000032737	423020
ENSGALT00000008274	423021
ENSGALT00000008285	770044
ENSGALT00000021548	395123
ENSGALT00000006449	417186
ENSGALT00000021542	.
ENSGALT00000043764	100216000
ENSGALT00000020749	396336
ENSGALT00000023142	420102
ENSGALT00000039564	417185
ENSGALT00000039554	417184
ENSGALT00000004080	420103
ENSGALT00000006192	417183
ENSGALT00000039547	417182
ENSGALT00000008388	429967
ENSGALT00000043689	430210
ENSGALT00000044257	430210
ENSGALT00000006164	417181
ENSGALT00000006154	427762
ENSGALT00000044966	101748150
ENSGALT00000008293	395597
ENSGALT00000006123	417180
ENSGALT00000040697	.
ENSGALT00000044850	.
ENSGALT00000023534	.
ENSGALT00000035078	.
ENSGALT00000004211	420104
ENSGALT00000044788	417179
ENSGALT00000045607	425789
ENSGALT00000019966	425789
ENSGALT00000024529	427267
ENSGALT00000040682	.
ENSGALT00000000614	431122
ENSGALT00000006070	.
ENSGALT00000043138	.
ENSGALT00000043153	.
ENSGALT00000045449	.
ENSGALT00000005350	769410
ENSGALT00000005350	769410
ENSGALT00000005350	101749159
ENSGALT00000005350	101749159
ENSGALT00000015806	.
ENSGALT00000011630	422087
ENSGALT00000044244	101747660
